"GeoFips","GeoName","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01001","Autauga, AL",781937,804299,946964,969849,1080320,1136583,1043678,1124580,1201882
"01003","Baldwin, AL",3272516,3482632,3927738,4473372,4677561,4834320,4646662,4520189,4705935
"01005","Barbour, AL",643629,675121,761416,761648,761095,758032,720271,728994,746844
"01007","Bibb, AL",234884,252134,273739,276572,307014,330907,337270,333100,362554
"01009","Blount, AL",635887,663907,698997,710684,741832,782556,786828,781371,781488
"01011","Bullock, AL",190141,191436,193689,190225,206354,205146,204804,231922,223581
"01013","Butler, AL",383051,405904,440445,432981,451960,491080,478870,449369,530579
"01015","Calhoun, AL",2859680,2997971,3324586,3568305,3777282,4024250,4156337,4049773,4238183
"01017","Chambers, AL",732433,669342,744603,709929,707470,701681,636745,623913,646638
"01019","Cherokee, AL",318075,336326,372840,365661,403636,434303,452363,428216,452084
"01021","Chilton, AL",532113,563391,619985,646491,699949,715802,701312,708357,726726
"01023","Choctaw, AL",448651,418649,483146,549337,628000,551609,555611,373475,401820
"01025","Clarke, AL",552550,559307,625506,667131,742299,761486,740789,736987,725962
"01027","Clay, AL",266728,250841,280212,313040,355679,312499,292693,284740,287746
"01029","Cleburne, AL",213111,214084,238187,251914,253148,248828,264836,240784,255457
"01031","Coffee, AL",820387,838087,932002,965559,982251,1063540,1109353,1156636,1183258
"01033","Colbert, AL",1470292,1625779,1792657,1907776,2063344,2089453,2142428,1918713,2152899
"01035","Conecuh, AL",251365,258495,291474,352420,427014,469991,558447,415970,406270
"01037","Coosa, AL",140972,136869,145850,157992,179747,171299,160828,168926,162473
"01039","Covington, AL",833766,803501,898190,901542,956100,985796,983012,1006744,1066211
"01041","Crenshaw, AL",209730,233725,274981,312435,331051,318153,318656,305356,361810
"01043","Cullman, AL",1626654,1725973,1939807,2035387,2096468,2068226,2076964,2083819,2162156
"01045","Dale, AL",1566539,1667589,1834699,2098561,2277884,2360643,2522901,2643283,2820514
