"fips","abbrv","state","county","region","division","census2010pop","popestimate2010","popestimate2011","popestimate2012","popestimate2013","popestimate2014","popestimate2015","popestimate2016","popestimate2017","popestimate2018","popestimate2019","births2010","births2011","births2012","births2013","births2014","births2015","births2016","births2017","births2018","births2019","deaths2010","deaths2011","deaths2012","deaths2013","deaths2014","deaths2015","deaths2016","deaths2017","deaths2018","deaths2019","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","no_high_1970","high_only_1970","some_college_1_3_yrs_1970","four_years_college_or_more_1970","no_high_1980","high_only_1980","some_college_1_3_yrs_1980","four_years_college_or_more_1980","no_high_1990","high_only_1990","some_college_associates_1990","bachelors_degree_or_more_1990","no_high_2000","high_only_2000","some_college_associates_2000","bachelors_degree_or_more_2000","no_high_2014_18","high_only_2014_18","some_college_associates_2014_18","bachelors_degree_or_more_2014_18","pct_adults_no_high_1970","pct_adults_only_high_1970","pct_adults_some_college_1_3_yrs_1970","pct_adults_four_yrs_college_or_more_1970","pct_adults_no_high_1980","pct_adults_only_high_1980","pct_adults_some_college_1_3_yrs_1980","pct_adults_four_yrs_college_or_more_1980","pct_adults_no_high_1990","pct_adults_only_high_1990","pct_adults_some_college_associates_1990","pct_adults_bachelors_or_more_1990","pct_adults_no_high_2000","pct_adults_only_high_2000","pct_adults_some_college_associates_2000","pct_adults_bachelors_or_more_2000","pct_adults_no_high_2014_18","pct_adults_only_high_2014_18","pct_adults_some_college_associates_2014_18","pct_adults_bachelors_or_more_2014_18","tot_indiv_poverty_2018","pct_povall_2018","civilian_labor_force_2000","employed_2000","unemployed_2000","civilian_labor_force_2001","employed_2001","unemployed_2001","civilian_labor_force_2002","employed_2002","unemployed_2002","civilian_labor_force_2003","employed_2003","unemployed_2003","civilian_labor_force_2004","employed_2004","unemployed_2004","civilian_labor_force_2005","employed_2005","unemployed_2005","civilian_labor_force_2006","employed_2006","unemployed_2006","civilian_labor_force_2007","employed_2007","unemployed_2007","civilian_labor_force_2008","employed_2008","unemployed_2008","civilian_labor_force_2009","employed_2009","unemployed_2009","civilian_labor_force_2010","employed_2010","unemployed_2010","civilian_labor_force_2011","employed_2011","unemployed_2011","civilian_labor_force_2012","employed_2012","unemployed_2012","civilian_labor_force_2013","employed_2013","unemployed_2013","civilian_labor_force_2014","employed_2014","unemployed_2014","civilian_labor_force_2015","employed_2015","unemployed_2015","civilian_labor_force_2016","employed_2016","unemployed_2016","civilian_labor_force_2017","employed_2017","unemployed_2017","civilian_labor_force_2018","employed_2018","unemployed_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","median_household_income_2018","med_hh_income_percent_of_state_total_2018","unemployment_rate_2000","unemployment_rate_2001","unemployment_rate_2002","unemployment_rate_2003","unemployment_rate_2004","unemployment_rate_2005","unemployment_rate_2006","unemployment_rate_2007","unemployment_rate_2008","unemployment_rate_2009","unemployment_rate_2010","unemployment_rate_2011","unemployment_rate_2012","unemployment_rate_2013","unemployment_rate_2014","unemployment_rate_2015","unemployment_rate_2016","unemployment_rate_2017","unemployment_rate_2018","unemployment_rate_2019"
"10001","DE","Delaware","Kent","South","South Atlantic",162310,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786,570,2211,2190,2189,2254,2254,2261,2214,2178,2127,329,1373,1382,1492,1478,1558,1565,1649,1694,1757,67,216,332,309,252,395,281,159,54,62,288,1098,1040,747,1371,594,444,1237,1502,1812,355,1314,1372,1056,1623,989,725,1396,1556,1874,4307529,4552212,4712176,5315768,5509941,5955028,6198098,6253452,6575170,6519797,6548906,6494799,6538906,6833422,7229976,7269615,7431865,7899268,8370319,18865,13141,3712,3803,18471,20718,7463,6708,18185,22967,16412,10152,16312,26100,22068,14769,14930,38490,35280,27357,47.7,33.3,9.4,9.6,34.6,38.8,14,12.6,26.9,33.9,24.2,15,20.6,32.9,27.8,18.6,12.9,33.2,30.4,23.6,23966,13.8,63479,60922,2557,64923,62535,2388,65666,63071,2595,66965,64113,2852,69048,66624,2424,72015,69394,2621,74093,71705,2388,75038,72517,2521,75463,71760,3703,73786,67788,5998,72711,66250,6461,74064,67996,6068,74287,68394,5893,73824,68405,5419,75025,70212,4813,76253,72145,4108,77196,73404,3792,77446,73667,3779,78063,74802,3261,79411,76097,3314,54980,83.9812424580323,4,3.7,4,4.3,3.5,3.6,3.2,3.4,4.9,8.1,8.9,8.2,7.9,7.3,6.4,5.4,4.9,4.9,4.2,4.2
"10003","DE","Delaware","New Castle","South","South Atlantic",538479,538752,541909,544848,548331,550768,553488,555058,555976,557550,558753,1697,6840,6724,6497,6477,6581,6520,6426,6264,6268,1038,4405,4252,4362,4309,4498,4520,4752,5027,4916,225,1090,714,1791,1367,1675,1304,1233,454,69,-590,-347,-114,-350,-1003,-986,-1724,-1985,-99,-201,-365,743,600,1441,364,689,-420,-752,355,-132,35683537,34908446,36376979,38788630,38620481,40635680,41297893,39605757,41633087,42900188,45735524,46252783,44754850,50017376,52113578,50158092,50762799,53780348,55201763,86082,65241,21048,30764,63865,82914,36957,47542,54957,88345,68922,71585,47245,96294,85497,95774,32485,116387,94982,136613,42.4,32.1,10.4,15.1,27.6,35.9,16,20.6,19.4,31.1,24.3,25.2,14.5,29.6,26.3,29.5,8.5,30.6,25,35.9,62976,11.6,270531,260715,9816,275308,265872,9436,268410,257322,11088,265814,254061,11753,266051,254797,11254,270152,258145,12007,274789,264399,10390,275852,266221,9631,277739,264070,13669,271289,248704,22585,271575,249148,22427,277387,257260,20127,278342,258855,19487,276688,258787,17901,282578,266987,15591,291188,277487,13701,293641,280645,12996,295508,282545,12963,297784,286811,10973,300148,289100,11048,69562,106.255059801121,3.6,3.4,4.1,4.4,4.2,4.4,3.8,3.5,4.9,8.3,8.3,7.3,7,6.5,5.5,4.7,4.4,4.4,3.7,3.7
"10005","DE","Delaware","Sussex","South","South Atlantic",197145,197885,200362,203034,206207,210263,214636,219321,224348,229389,234225,575,2247,2244,2204,2250,2191,2303,2338,2290,2288,472,2096,2061,2231,2285,2487,2420,2656,2699,2781,65,221,166,257,124,168,123,136,-24,-58,583,2103,2276,2901,3862,4444,4659,5178,5448,5350,648,2324,2442,3158,3986,4612,4782,5314,5424,5292,6564838,6367575,6642113,7233331,7897759,8366039,8785325,8918388,9059038,8566732,8537363,9119095,9713771,10698952,12204272,11856455,11704781,12507081,13510330,25516,12829,3331,3063,25727,21166,7170,5956,23330,28718,14941,9985,25979,39366,26880,18374,20067,53680,46446,43262,57,28.7,7.4,6.8,42.9,35.3,11.9,9.9,30.3,37.3,19.4,13,23.5,35.6,24.3,16.6,12.3,32.8,28.4,26.5,27750,12.3,79492,76391,3101,81555,78626,2929,82707,79626,3081,82382,79298,3084,85284,82178,3106,90242,86926,3316,92302,89295,3007,92683,89574,3109,93841,89085,4756,92424,84819,7605,90133,82471,7662,91896,84830,7066,92942,86207,6735,92216,85927,6289,94584,89126,5458,98047,93224,4823,101015,96477,4538,103317,98716,4601,105928,101930,3998,107706,103648,4058,59821,91.3758076588205,3.9,3.6,3.7,3.7,3.6,3.7,3.3,3.4,5.1,8.2,8.5,7.7,7.2,6.8,5.8,4.9,4.5,4.5,3.8,3.8
"11001","DC","District of Columbia","District of Columbia","South","South Atlantic",601723,605226,619800,634924,650581,662328,675400,685815,694906,701547,705749,2245,9196,9232,9445,9334,9648,9718,9693,9523,9493,1181,4668,4538,4813,4650,4883,4852,5138,5321,5677,696,2414,3384,4737,5205,5024,3451,3541,2749,2604,1473,7537,6711,6051,1778,3201,2057,973,-318,-2203,2169,9951,10095,10788,6983,8225,5508,4514,2431,401,65518401,70072613,74178300,80557403,85349234,88580463,94036823,99532269,100916918,106097780,109998770,112609956,115021130,119722803,124853656,129477061,132853575,138773492,143389328,189720,110767,47331,75233,131277,101817,56081,109478,109866,86756,76224,136285,85249,79169,69880,150237,45805,83572,77255,280349,44.8,26.2,11.2,17.8,32.9,25.5,14.1,27.5,26.9,21.2,18.6,33.3,22.2,20.6,18.2,39.1,9.4,17.2,15.9,57.6,107806,16.1,310469,293086,17383,310515,290811,19704,306099,286496,19603,306422,285454,20968,312027,287683,24344,315616,295484,20132,316083,297786,18297,322237,304426,17811,330544,309192,21352,335672,304500,31172,346065,313508,32557,350778,315171,35607,364989,331984,33005,374126,342351,31775,379123,349686,29437,389101,362304,26797,395021,370897,24124,401021,376716,24305,404739,381703,23036,409969,387482,22487,82533,100,5.6,6.3,6.4,6.8,7.8,6.4,5.8,5.5,6.5,9.3,9.4,10.2,9,8.5,7.8,6.9,6.1,6.1,5.7,5.5
"12001","FL","Florida","Alachua","South","South Atlantic",247336,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043,695,2824,3001,2822,2883,2911,2875,2815,2801,2775,356,1764,1674,1791,1839,1865,1857,1976,2050,2081,273,1219,942,995,1157,1272,1396,1426,1040,798,-342,-58,-555,-1078,812,1283,2482,93,753,-1302,-69,1161,387,-83,1969,2555,3878,1519,1793,-504,7091017,7478714,7693330,8635595,9161664,9909385,10741186,10773943,10746516,10753318,10740007,10966835,11297434,11803843,12410044,12911657,13429343,14268736,14966995,18825,11494,5726,10816,18559,19965,15015,22278,17727,22267,27119,35534,14758,25033,35930,47803,12112,34631,44794,67724,40.2,24.5,12.2,23.1,24.5,26.3,19.8,29.4,17.3,21.7,26.4,34.6,11.9,20.3,29.1,38.7,7.6,21.7,28.1,42.5,50922,19.8,116143,112640,3503,118547,114284,4263,118163,113387,4776,119087,114641,4446,120256,115973,4283,123550,119924,3626,125843,122471,3372,129010,125102,3908,131246,125425,5821,129815,120579,9236,128370,118072,10298,129027,119251,9776,130007,121373,8634,129435,122038,7397,129427,122675,6752,129266,123302,5964,132392,126746,5646,135590,130393,5197,137170,132623,4547,139217,135112,4105,51026,92.0498619955622,3,3.6,4,3.7,3.6,2.9,2.7,3,4.4,7.1,8,7.6,6.6,5.7,5.2,4.6,4.3,3.8,3.3,2.9
"12003","FL","Florida","Baker","South","South Atlantic",27115,27066,27049,27053,27009,27122,27355,27884,28254,28353,29210,81,360,345,314,393,313,339,368,303,322,77,228,226,247,209,237,229,257,270,273,-1,8,11,6,3,6,8,9,5,5,-57,-157,-123,-116,-68,151,409,250,61,802,-58,-149,-112,-110,-65,157,417,259,66,807,330575,351850,364470,393020,420814,468193,546564,554849,540753,499061,502430,507171,512880,529500,550461,570373,593694,623155,637613,3119,1271,228,173,4057,2903,797,465,3930,4101,2302,624,3922,5780,3108,1143,2886,7986,5295,2492,65.1,26.5,4.8,3.6,49.3,35.3,9.7,5.7,35.9,37.4,21,5.7,28.1,41.4,22.3,8.2,15.5,42.8,28.4,13.4,3944,15.4,10392,10078,314,10503,10060,443,10459,9957,502,10426,9922,504,10601,10171,430,11112,10751,361,11548,11219,329,11913,11477,436,12245,11531,714,12111,10887,1224,11552,10246,1306,11506,10333,1173,11347,10374,973,11270,10438,832,11197,10480,717,11152,10530,622,11397,10844,553,11668,11178,490,11631,11225,406,11852,11484,368,52804,95.2573376869374,3,4.2,4.8,4.8,4.1,3.2,2.8,3.7,5.8,10.1,11.3,10.2,8.6,7.4,6.4,5.6,4.9,4.2,3.5,3.1
"12005","FL","Florida","Bay","South","South Atlantic",168852,169206,169555,171757,174596,178289,181488,183634,184736,186240,174705,516,2115,2284,2279,2243,2396,2371,2303,2267,2222,401,1609,1576,1761,1844,1962,1872,1978,2070,1989,76,180,429,274,406,638,634,587,437,277,168,-330,1059,2009,2816,2108,1015,199,868,-12080,244,-150,1488,2283,3222,2746,1649,786,1305,-11803,4365312,4748087,5086416,5703568,6343587,6889964,7025691,7093117,7030844,6981087,6925477,6966927,7179626,7522881,7871526,8102080,8371324,8752748,9017351,18967,12186,3945,3575,19152,20027,9466,7408,20881,25228,23397,12942,18916,30550,32669,17636,12371,40148,46118,29167,49,31.5,10.2,9.2,34.2,35.7,16.9,13.2,25.3,30.6,28.4,15.7,19,30.6,32.7,17.7,9.7,31.4,36.1,22.8,24276,13.4,71968,68623,3345,72692,68857,3835,74110,69782,4328,75980,71922,4058,78802,75238,3564,82406,79474,2932,85748,83077,2671,86754,83532,3222,88653,83626,5027,88810,80695,8115,86072,77054,9018,87205,78311,8894,86694,79206,7488,86420,80126,6294,87477,81927,5550,87379,82599,4780,87761,83595,4166,88359,84675,3684,87904,84286,3618,84235,80980,3255,51777,93.4046506593545,4.6,5.3,5.8,5.3,4.5,3.6,3.1,3.7,5.7,9.1,10.5,10.2,8.6,7.3,6.3,5.5,4.7,4.2,4.1,3.9
"12007","FL","Florida","Bradford","South","South Atlantic",28520,28536,28431,27051,26802,26552,26748,26740,27142,27752,28201,84,314,327,321,301,283,295,298,280,285,90,269,269,291,301,283,291,339,331,349,0,9,13,-1,0,8,7,10,6,2,21,-158,-1529,-281,-249,188,-17,432,649,507,21,-149,-1516,-282,-249,196,-10,442,655,509,394540,414790,443001,485955,519754,577127,633691,630479,586508,570174,573509,566522,584490,616815,644415,666525,719386,760014,761704,4977,2015,496,349,5591,4065,1476,916,5288,5551,3032,1217,4620,7179,4582,1502,4229,7745,5458,2056,63.5,25.7,6.3,4.5,46.4,33.7,12.3,7.6,35,36.8,20.1,8.1,25.8,40.1,25.6,8.4,21.7,39.7,28,10.6,4618,19.5,10581,10183,398,10805,10313,492,10960,10470,490,11322,10855,467,11582,11123,459,11709,11334,375,12191,11843,348,12341,11917,424,12475,11856,619,12473,11467,1006,11587,10444,1143,11507,10462,1045,11152,10307,845,10985,10293,692,10742,10136,606,10725,10207,518,10841,10381,460,11268,10855,413,11132,10751,381,11062,10715,347,45075,81.3143795212238,3.8,4.6,4.5,4.1,4,3.2,2.9,3.4,5,8.1,9.9,9.1,7.6,6.3,5.6,4.8,4.2,3.7,3.4,3.1
"12009","FL","Florida","Brevard","South","South Atlantic",543376,543965,544359,546966,550255,555548,565746,576874,587769,595203,601942,1166,5045,5118,5012,5233,5199,5263,5279,5236,5258,1362,6189,6116,6542,6515,7006,7064,7497,7821,7468,227,871,1020,950,1130,1146,1298,1332,1035,429,603,697,2663,3886,5410,10752,11594,11740,8971,8509,830,1568,3683,4836,6540,11898,12892,13072,10006,8938,13203412,13811309,14786025,16435001,17968981,19520899,20803047,20865585,20000789,19979572,19480887,19230474,19781138,20510803,21751334,22717320,24053944,25485585,27485088,34845,45838,20287,17977,41844,64930,34376,29142,48987,84039,87746,56574,46416,98108,115194,80020,34234,122135,145319,125088,29.3,38.5,17.1,15.1,24.6,38.1,20.2,17.1,17.7,30.3,31.6,20.4,13.7,28.9,33.9,23.6,8,28.6,34.1,29.3,64854,11,231904,223468,8436,237019,226249,10770,238028,224093,13935,242235,229392,12843,249353,237866,11487,260435,250969,9466,265618,256936,8682,265782,254099,11683,268840,250742,18098,266755,238983,27772,265643,235757,29886,265213,236336,28877,262648,237972,24676,258685,237228,21457,257669,239673,17996,255977,240638,15339,262074,248726,13348,269221,257525,11696,276377,266476,9901,284087,275025,9062,57612,103.930871502535,3.6,4.5,5.9,5.3,4.6,3.6,3.3,4.4,6.7,10.4,11.3,10.9,9.4,8.3,7,6,5.1,4.3,3.6,3.2
"12011","FL","Florida","Broward","South","South Atlantic",1748066,1752803,1786980,1814253,1836600,1860933,1885040,1912583,1934516,1946107,1952778,5072,21126,21161,21151,22091,22157,22433,22545,22124,21829,3744,14462,14232,14406,14027,14778,14803,15426,15680,16032,3128,13709,12313,13104,14205,16898,19936,20560,15473,13055,386,13754,8061,2809,2463,105,83,-5677,-10311,-12153,3514,27463,20374,15913,16668,17003,20019,14883,5162,902,54130152,57680723,62103666,67428824,74191376,77947146,79510947,77959886,75539760,78743459,79087351,80792374,83369197,87749806,93788662,98234174,103277643,109241859,114760834,175532,130997,49001,38387,207702,263549,125179,106390,208133,284651,237246,168799,203234,319416,327325,276527,150125,368264,396859,429460,44.6,33.3,12.4,9.7,29.6,37.5,17.8,15.1,23.2,31.7,26.4,18.8,18,28.4,29.1,24.5,11.2,27.4,29.5,31.9,244310,12.6,854842,823673,31169,887522,846010,41512,898709,844709,54000,905406,855456,49950,924362,880488,43874,957619,922294,35325,983211,952640,30571,1000426,964482,35944,1006721,950763,55958,980551,891041,89510,936563,841473,95090,951445,861686,89759,963563,886780,76783,974428,908457,65971,986355,927797,58558,986384,935820,50564,1002237,957296,44941,1023413,982614,40799,1031169,995853,35316,1040519,1008813,31706,57200,103.187631916007,3.6,4.7,6,5.5,4.7,3.7,3.1,3.6,5.6,9.1,10.2,9.4,8,6.8,5.9,5.1,4.5,4,3.4,3
