"fips","region","division","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019"
"01001","South","East South Central",147,327,-329,-226,101,-107,266,59,37,270
"01003","South","East South Central",782,2899,3055,4176,3864,3433,4188,4619,5224,5297
"01005","South","East South Central",-69,13,-176,-210,-142,-430,-492,-649,-231,-141
"01007","South","East South Central",-59,-124,-105,-151,16,17,-30,-83,-164,31
"01009","South","East South Central",9,28,-100,-65,-158,-90,-102,358,-9,59
"01011","South","East South Central",-24,-254,-81,-85,96,-259,-31,-213,-28,-72
"01013","South","East South Central",-4,-77,-170,-304,-11,-153,-154,-121,-216,-141
"01015","South","East South Central",-113,-752,-606,-659,-534,-438,-502,-259,-159,-475
"01017","South","East South Central",-54,-74,122,57,-158,31,-209,65,-57,-265
"01019","South","East South Central",41,116,53,161,-20,-52,141,178,338,306
"01021","South","East South Central",47,-82,-170,3,13,-119,46,168,-5,184
"01023","South","East South Central",-18,-194,-6,-108,-40,-58,-148,-72,-49,-199
"01025","South","East South Central",-78,-141,-450,-10,-229,-177,-348,-221,-133,-232
"01027","South","East South Central",-21,-153,-222,26,61,24,23,8,-41,-12
"01029","South","East South Central",13,-85,-64,102,50,-37,-12,69,122,-86
"01031","South","East South Central",118,-13,351,-679,-232,133,-5,457,-16,334
"01033","South","East South Central",59,56,78,95,64,43,54,239,327,256
"01035","South","East South Central",-20,-9,-128,-94,-196,19,-151,-28,-102,-167
"01037","South","East South Central",16,-228,-103,-47,-207,-72,-64,-38,-72,42
"01039","South","East South Central",43,234,-141,56,19,-69,-120,-221,23,235
"01041","South","East South Central",-47,10,28,-53,31,56,71,-16,5,-14
"01043","South","East South Central",41,-151,-94,388,284,611,595,434,623,380
"01045","South","East South Central",-1,-553,-246,-781,-632,-270,-287,-109,-338,-89
"01047","South","East South Central",-7,-635,-554,-779,-436,-601,-803,-819,-854,-1002
"01049","South","East South Central",-42,-3,-649,-99,-34,52,-128,244,-58,90
"01051","South","East South Central",218,147,-157,44,-230,142,168,25,-504,67
"01053","South","East South Central",-28,-186,-139,-258,-1,2,-119,-456,-418,166
"01055","South","East South Central",60,-15,161,-169,-305,-204,-5,278,-154,-62
"01057","South","East South Central",-3,-101,-11,-70,-18,-39,-89,-5,16,-97
"01059","South","East South Central",-15,-35,-196,-271,-46,-103,17,-192,-336,-28
"01061","South","East South Central",40,5,222,-205,-29,104,-44,-8,-4,62
"01063","South","East South Central",-53,-88,-59,-70,-175,-62,-15,-154,-86,-101
"01065","South","East South Central",-55,-381,-42,-140,-209,-62,-191,-24,-61,-103
"01067","South","East South Central",13,106,-174,10,-31,71,22,79,104,79
"01069","South","East South Central",145,251,521,98,281,-90,-310,-24,224,936
"01071","South","East South Central",-57,74,-105,-28,-312,-164,-16,-29,-69,128
"01073","South","East South Central",-965,-2812,-2920,-1226,-1488,-1896,-2639,-2441,-1827,-2375
"01075","South","East South Central",-28,-148,-8,18,-80,-117,65,29,4,-64
"01077","South","East South Central",15,-18,155,220,440,-429,100,391,214,355
"01079","South","East South Central",-10,-215,-236,-210,-64,-266,121,-144,-61,69
"01081","South","East South Central",217,2021,2740,1795,1488,1118,731,1177,1159,-112
"01083","South","East South Central",296,1959,1404,1192,1341,656,939,1001,1855,2545
"01085","South","East South Central",-26,-144,-329,-193,-180,-127,-97,-129,-109,-223
"01087","South","East South Central",31,-189,-691,-559,-362,-292,-176,-194,-428,-162
"01089","South","East South Central",790,1424,1095,2324,1319,1506,2067,3687,3817,4721
"01091","South","East South Central",-41,-292,-339,-236,-140,-208,-249,-103,-256,-129
"01093","South","East South Central",43,-35,-92,-154,45,7,-62,-60,94,62
"01095","South","East South Central",39,319,-2,-104,-305,19,205,229,229,303
"01097","South","East South Central",-314,-2321,-1514,-1467,-1548,-1766,-1363,-2431,-1677,-1821
"01099","South","East South Central",-82,-200,-173,-382,-226,-144,-136,-207,-155,-249
"01101","South","East South Central",-186,-1918,-2135,-2199,-2155,-1720,-1623,-1244,-2092,-1235
"01103","South","East South Central",26,19,-159,-702,-377,-391,-536,-328,130,285
"01105","South","East South Central",-27,-100,-282,-134,-155,-159,-113,-207,-230,-124
"01107","South","East South Central",-18,-345,-24,52,936,511,-451,-120,-241,-33
"01109","South","East South Central",28,-103,-30,372,-734,127,-249,-231,-230,-210
"01111","South","East South Central",30,-105,-188,34,-151,272,-17,244,101,33
"01113","South","East South Central",232,1318,2126,1212,-412,-753,-879,-1267,683,26
"01115","South","East South Central",122,88,489,849,96,403,598,549,642,828
"01117","South","East South Central",395,381,1648,1824,1046,1501,1040,1376,1037,1381
"01119","South","East South Central",-2,-229,-60,-74,-164,-123,-286,-218,-128,-207
"01121","South","East South Central",-185,-261,315,-466,44,-370,-477,-247,160,14
"01123","South","East South Central",-112,-40,-340,60,-66,-262,48,219,44,-18
"01125","South","East South Central",62,823,887,1140,860,623,460,97,-159,261
"01127","South","East South Central",5,-339,-315,-66,-293,-153,-220,-329,32,75
"01129","South","East South Central",27,-259,-224,-196,-5,-9,-177,-101,-140,-65
"01131","South","East South Central",-66,-122,-131,-149,-168,-22,-47,-165,-81,-197
"01133","South","East South Central",-76,18,-95,67,4,-162,50,-74,13,17
"02013","West","Pacific",9,-4,-30,-47,-82,-54,-107,-28,-116,-103
"02016","West","Pacific",-19,-70,-2,-87,-54,-159,-215,-138,-169,-91
"02020","West","Pacific",363,-1132,-2283,-1662,-5062,-6466,-4337,-6877,-6344,-4972
"02050","West","Pacific",-12,-26,-63,-166,-276,-281,-259,-235,-135,-88
"02060","West","Pacific",5,21,-51,-34,0,-50,-4,-40,9,-46
"02068","West","Pacific",3,5,5,-5,-53,-14,76,-21,-60,51
