"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"01001","South","East South Central",25,4,-14,12,7,13,-3,-12,-7,-16
"01003","South","East South Central",36,177,239,204,113,131,180,86,97,80
"01005","South","East South Central",-1,-5,-12,-10,4,13,17,12,12,13
"01007","South","East South Central",0,10,19,20,14,13,14,10,10,10
"01009","South","East South Central",-2,-16,5,45,40,13,22,-1,5,6
"01011","South","East South Central",1,17,7,18,6,0,8,8,13,-1
"01013","South","East South Central",0,1,6,7,20,27,28,22,17,18
"01015","South","East South Central",-4,26,67,45,66,66,102,69,103,14
"01017","South","East South Central",6,27,31,29,29,14,13,7,6,6
"01019","South","East South Central",1,-2,7,9,-1,-2,-2,-3,-3,-3
"01021","South","East South Central",-2,28,-3,11,17,29,68,18,35,35
"01023","South","East South Central",1,-2,-2,-2,-2,-1,-2,-2,-2,-2
"01025","South","East South Central",1,2,3,4,-3,-4,-5,-5,-5,-5
"01027","South","East South Central",0,2,-1,0,0,-2,-2,-2,-2,-2
"01029","South","East South Central",0,0,-1,-4,-7,-12,-9,-11,-11,-11
"01031","South","East South Central",40,78,210,106,54,90,101,60,51,34
"01033","South","East South Central",7,29,12,5,3,59,101,69,75,73
"01035","South","East South Central",0,0,0,2,0,1,1,1,1,1
"01037","South","East South Central",-1,1,-3,4,3,12,17,14,15,13
"01039","South","East South Central",0,3,-4,-1,-2,-3,-5,-5,-5,-5
"01041","South","East South Central",8,14,15,2,-1,2,4,2,3,3
"01043","South","East South Central",-2,22,19,36,42,41,63,33,34,34
"01045","South","East South Central",46,57,167,98,57,114,110,16,19,18
"01047","South","East South Central",0,-7,-3,-4,-4,1,8,5,5,5
"01049","South","East South Central",11,84,61,66,34,27,91,39,53,44
"01051","South","East South Central",8,36,66,79,35,45,51,23,21,25
"01053","South","East South Central",-2,3,-5,5,-1,2,1,-3,-1,-1
"01055","South","East South Central",10,33,18,-7,15,38,63,29,37,37
"01057","South","East South Central",-2,-7,-4,0,4,6,9,5,5,5
"01059","South","East South Central",-2,66,83,109,52,31,48,25,28,29
"01061","South","East South Central",-1,-11,-11,-7,-4,-6,-6,-7,-7,-7
"01063","South","East South Central",0,0,0,-1,0,1,1,0,0,0
"01065","South","East South Central",8,8,-2,-1,-1,-3,-3,-3,-3,-3
"01067","South","East South Central",5,17,0,8,1,1,3,-1,-1,-1
"01069","South","East South Central",5,27,40,34,27,27,35,19,23,11
"01071","South","East South Central",7,32,70,53,12,-1,-4,-8,-7,-7
"01073","South","East South Central",98,774,671,760,520,668,843,399,453,460
"01075","South","East South Central",0,2,1,3,-1,0,-1,-1,-1,-1
"01077","South","East South Central",16,43,39,11,19,40,65,31,35,35
"01079","South","East South Central",1,0,2,-2,-3,-1,-2,-3,-3,-3
"01081","South","East South Central",108,480,832,623,476,504,524,309,283,303
"01083","South","East South Central",9,74,57,68,43,36,89,49,62,32
"01085","South","East South Central",0,2,-1,0,-1,-1,-1,-1,-1,-1
"01087","South","East South Central",-3,-12,6,5,5,0,5,1,1,1
"01089","South","East South Central",100,513,648,457,402,542,610,362,450,230
"01091","South","East South Central",1,11,18,15,3,4,9,6,8,3
"01093","South","East South Central",2,10,15,10,-5,2,11,3,3,3
"01095","South","East South Central",17,163,152,109,16,61,112,58,65,65
"01097","South","East South Central",122,597,688,588,457,567,605,385,440,266
"01099","South","East South Central",0,-6,-2,-3,-1,-2,-2,-2,-2,-2
"01101","South","East South Central",86,360,613,471,360,449,559,319,302,321
