"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"01001","South","East South Central",172,331,-343,-214,108,-94,263,47,30,254
"01003","South","East South Central",818,3076,3294,4380,3977,3564,4368,4705,5321,5377
"01005","South","East South Central",-70,8,-188,-220,-138,-417,-475,-637,-219,-128
"01007","South","East South Central",-59,-114,-86,-131,30,30,-16,-73,-154,41
"01009","South","East South Central",7,12,-95,-20,-118,-77,-80,357,-4,65
"01011","South","East South Central",-23,-237,-74,-67,102,-259,-23,-205,-15,-73
"01013","South","East South Central",-4,-76,-164,-297,9,-126,-126,-99,-199,-123
"01015","South","East South Central",-117,-726,-539,-614,-468,-372,-400,-190,-56,-461
"01017","South","East South Central",-48,-47,153,86,-129,45,-196,72,-51,-259
"01019","South","East South Central",42,114,60,170,-21,-54,139,175,335,303
"01021","South","East South Central",45,-54,-173,14,30,-90,114,186,30,219
"01023","South","East South Central",-17,-196,-8,-110,-42,-59,-150,-74,-51,-201
"01025","South","East South Central",-77,-139,-447,-6,-232,-181,-353,-226,-138,-237
"01027","South","East South Central",-21,-151,-223,26,61,22,21,6,-43,-14
"01029","South","East South Central",13,-85,-65,98,43,-49,-21,58,111,-97
"01031","South","East South Central",158,65,561,-573,-178,223,96,517,35,368
"01033","South","East South Central",66,85,90,100,67,102,155,308,402,329
"01035","South","East South Central",-20,-9,-128,-92,-196,20,-150,-27,-101,-166
"01037","South","East South Central",15,-227,-106,-43,-204,-60,-47,-24,-57,55
"01039","South","East South Central",43,237,-145,55,17,-72,-125,-226,18,230
"01041","South","East South Central",-39,24,43,-51,30,58,75,-14,8,-11
"01043","South","East South Central",39,-129,-75,424,326,652,658,467,657,414
"01045","South","East South Central",45,-496,-79,-683,-575,-156,-177,-93,-319,-71
"01047","South","East South Central",-7,-642,-557,-783,-440,-600,-795,-814,-849,-997
"01049","South","East South Central",-31,81,-588,-33,0,79,-37,283,-5,134
"01051","South","East South Central",226,183,-91,123,-195,187,219,48,-483,92
"01053","South","East South Central",-30,-183,-144,-253,-2,4,-118,-459,-419,165
"01055","South","East South Central",70,18,179,-176,-290,-166,58,307,-117,-25
"01057","South","East South Central",-5,-108,-15,-70,-14,-33,-80,0,21,-92
"01059","South","East South Central",-17,31,-113,-162,6,-72,65,-167,-308,1
"01061","South","East South Central",39,-6,211,-212,-33,98,-50,-15,-11,55
"01063","South","East South Central",-53,-88,-59,-71,-175,-61,-14,-154,-86,-101
"01065","South","East South Central",-47,-373,-44,-141,-210,-65,-194,-27,-64,-106
"01067","South","East South Central",18,123,-174,18,-30,72,25,78,103,78
"01069","South","East South Central",150,278,561,132,308,-63,-275,-5,247,947
"01071","South","East South Central",-50,106,-35,25,-300,-165,-20,-37,-76,121
"01073","South","East South Central",-867,-2038,-2249,-466,-968,-1228,-1796,-2042,-1374,-1915
"01075","South","East South Central",-28,-146,-7,21,-81,-117,64,28,3,-65
"01077","South","East South Central",31,25,194,231,459,-389,165,422,249,390
