"fips","abbrv","state","county"
"01001","AL","Alabama","Autauga"
"01003","AL","Alabama","Baldwin"
"01005","AL","Alabama","Barbour"
"01007","AL","Alabama","Bibb"
"01009","AL","Alabama","Blount"
"01011","AL","Alabama","Bullock"
"01013","AL","Alabama","Butler"
"01015","AL","Alabama","Calhoun"
"01017","AL","Alabama","Chambers"
"01019","AL","Alabama","Cherokee"
"01021","AL","Alabama","Chilton"
"01023","AL","Alabama","Choctaw"
"01025","AL","Alabama","Clarke"
"01027","AL","Alabama","Clay"
"01029","AL","Alabama","Cleburne"
"01031","AL","Alabama","Coffee"
"01033","AL","Alabama","Colbert"
"01035","AL","Alabama","Conecuh"
"01037","AL","Alabama","Coosa"
"01039","AL","Alabama","Covington"
"01041","AL","Alabama","Crenshaw"
"01043","AL","Alabama","Cullman"
"01045","AL","Alabama","Dale"
"01047","AL","Alabama","Dallas"
"01049","AL","Alabama","DeKalb"
"01051","AL","Alabama","Elmore"
"01053","AL","Alabama","Escambia"
"01055","AL","Alabama","Etowah"
"01057","AL","Alabama","Fayette"
"01059","AL","Alabama","Franklin"
"01061","AL","Alabama","Geneva"
"01063","AL","Alabama","Greene"
"01065","AL","Alabama","Hale"
"01067","AL","Alabama","Henry"
"01069","AL","Alabama","Houston"
"01071","AL","Alabama","Jackson"
"01073","AL","Alabama","Jefferson"
"01075","AL","Alabama","Lamar"
"01077","AL","Alabama","Lauderdale"
"01079","AL","Alabama","Lawrence"
"01081","AL","Alabama","Lee"
"01083","AL","Alabama","Limestone"
"01085","AL","Alabama","Lowndes"
"01087","AL","Alabama","Macon"
"01089","AL","Alabama","Madison"
"01091","AL","Alabama","Marengo"
"01093","AL","Alabama","Marion"
"01095","AL","Alabama","Marshall"
"01097","AL","Alabama","Mobile"
"01099","AL","Alabama","Monroe"
"01101","AL","Alabama","Montgomery"
"01103","AL","Alabama","Morgan"
"01105","AL","Alabama","Perry"
"01107","AL","Alabama","Pickens"
"01109","AL","Alabama","Pike"
"01111","AL","Alabama","Randolph"
"01113","AL","Alabama","Russell"
"01115","AL","Alabama","St. Clair"
"01117","AL","Alabama","Shelby"
"01119","AL","Alabama","Sumter"
"01121","AL","Alabama","Talladega"
"01123","AL","Alabama","Tallapoosa"
"01125","AL","Alabama","Tuscaloosa"
"01127","AL","Alabama","Walker"
"01129","AL","Alabama","Washington"
"01131","AL","Alabama","Wilcox"
"01133","AL","Alabama","Winston"
"02013","AK","Alaska","Aleutians East Borough"
"02016","AK","Alaska","Aleutians West Census Area"
"02020","AK","Alaska","Anchorage Municipality"
"02050","AK","Alaska","Bethel Census Area"
"02060","AK","Alaska","Bristol Bay Borough"
"02068","AK","Alaska","Denali Borough"
"02070","AK","Alaska","Dillingham Census Area"
"02090","AK","Alaska","Fairbanks North Star Borough"
"02100","AK","Alaska","Haines Borough"
"02105","AK","Alaska","Hoonah-Angoon Census Area"
"02110","AK","Alaska","Juneau City and Borough"
"02122","AK","Alaska","Kenai Peninsula Borough"
"02130","AK","Alaska","Ketchikan Gateway Borough"
"02150","AK","Alaska","Kodiak Island Borough"
"02158","AK","Alaska","Kusilvak Census Area"
"02164","AK","Alaska","Lake and Peninsula Borough"
"02170","AK","Alaska","Matanuska-Susitna Borough"
"02180","AK","Alaska","Nome Census Area"
"02185","AK","Alaska","North Slope Borough"
"02188","AK","Alaska","Northwest Arctic Borough"
"02195","AK","Alaska","Petersburg Census Area"
"02198","AK","Alaska","Prince of Wales-Hyder Census Area"
"02220","AK","Alaska","Sitka City and Borough"
"02230","AK","Alaska","Skagway Municipality"
"02240","AK","Alaska","Southeast Fairbanks Census Area"
"02261","AK","Alaska","Valdez-Cordova Census Area"
"02270","AK","Alaska","Wade Hampton Census Area"
"02275","AK","Alaska","Wrangell City and Borough"
"02282","AK","Alaska","Yakutat City and Borough"
"02290","AK","Alaska","Yukon-Koyukuk Census Area"
"04001","AZ","Arizona","Apache"
"04003","AZ","Arizona","Cochise"
"04005","AZ","Arizona","Coconino"
"04007","AZ","Arizona","Gila"
"04009","AZ","Arizona","Graham"
"04011","AZ","Arizona","Greenlee"
"04012","AZ","Arizona","La Paz"
"04013","AZ","Arizona","Maricopa"
"04015","AZ","Arizona","Mohave"
"04017","AZ","Arizona","Navajo"
"04019","AZ","Arizona","Pima"
"04021","AZ","Arizona","Pinal"
"04023","AZ","Arizona","Santa Cruz"
"04025","AZ","Arizona","Yavapai"
"04027","AZ","Arizona","Yuma"
"05001","AR","Arkansas","Arkansas"
"05003","AR","Arkansas","Ashley"
"05005","AR","Arkansas","Baxter"
"05007","AR","Arkansas","Benton"
"05009","AR","Arkansas","Boone"
"05011","AR","Arkansas","Bradley"
"05013","AR","Arkansas","Calhoun"
"05015","AR","Arkansas","Carroll"
"05017","AR","Arkansas","Chicot"
"05019","AR","Arkansas","Clark"
"05021","AR","Arkansas","Clay"
"05023","AR","Arkansas","Cleburne"
"05025","AR","Arkansas","Cleveland"
"05027","AR","Arkansas","Columbia"
"05029","AR","Arkansas","Conway"
"05031","AR","Arkansas","Craighead"
"05033","AR","Arkansas","Crawford"
"05035","AR","Arkansas","Crittenden"
"05037","AR","Arkansas","Cross"
"05039","AR","Arkansas","Dallas"
"05041","AR","Arkansas","Desha"
"05043","AR","Arkansas","Drew"
"05045","AR","Arkansas","Faulkner"
"05047","AR","Arkansas","Franklin"
"05049","AR","Arkansas","Fulton"
"05051","AR","Arkansas","Garland"
"05053","AR","Arkansas","Grant"
"05055","AR","Arkansas","Greene"
"05057","AR","Arkansas","Hempstead"
"05059","AR","Arkansas","Hot Spring"
"05061","AR","Arkansas","Howard"
"05063","AR","Arkansas","Independence"
"05065","AR","Arkansas","Izard"
"05067","AR","Arkansas","Jackson"
"05069","AR","Arkansas","Jefferson"
"05071","AR","Arkansas","Johnson"
"05073","AR","Arkansas","Lafayette"
"05075","AR","Arkansas","Lawrence"
"05077","AR","Arkansas","Lee"
"05079","AR","Arkansas","Lincoln"
"05081","AR","Arkansas","Little River"
"05083","AR","Arkansas","Logan"
"05085","AR","Arkansas","Lonoke"
"05087","AR","Arkansas","Madison"
"05089","AR","Arkansas","Marion"
"05091","AR","Arkansas","Miller"
"05093","AR","Arkansas","Mississippi"
"05095","AR","Arkansas","Monroe"
"05097","AR","Arkansas","Montgomery"
"05099","AR","Arkansas","Nevada"
"05101","AR","Arkansas","Newton"
"05103","AR","Arkansas","Ouachita"
"05105","AR","Arkansas","Perry"
"05107","AR","Arkansas","Phillips"
"05109","AR","Arkansas","Pike"
"05111","AR","Arkansas","Poinsett"
"05113","AR","Arkansas","Polk"
"05115","AR","Arkansas","Pope"
"05117","AR","Arkansas","Prairie"
"05119","AR","Arkansas","Pulaski"
"05121","AR","Arkansas","Randolph"
"05123","AR","Arkansas","St. Francis"
"05125","AR","Arkansas","Saline"
"05127","AR","Arkansas","Scott"
"05129","AR","Arkansas","Searcy"
"05131","AR","Arkansas","Sebastian"
"05133","AR","Arkansas","Sevier"
"05135","AR","Arkansas","Sharp"
"05137","AR","Arkansas","Stone"
"05139","AR","Arkansas","Union"
"05141","AR","Arkansas","Van Buren"
"05143","AR","Arkansas","Washington"
