"fips","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
1001,748918,781937,804299,946964,969849,1080320,1136583,1043678,1124580,1201882,1316842,1487130,1457702,1503623,1660498,1716235,1655670,1739294,1737286
1003,3042910,3272516,3482632,3927738,4473372,4677561,4834320,4646662,4520189,4705935,4807109,5051126,5306439,5512315,5851578,6183519,6436833,6875914,7223316
1005,638536,643629,675121,761416,761648,761095,758032,720271,728994,746844,724247,723755,831850,788481,790096,763866,783249,828063,834832
1007,223597,234884,252134,273739,276572,307014,330907,337270,333100,362554,372407,371222,386524,391866,384602,395153,403787,424482,467477
1009,620406,635887,663907,698997,710684,741832,782556,786828,781371,781488,772505,809863,880086,888896,917442,876333,943993,980678,975948
1011,177283,190141,191436,193689,190225,206354,205146,204804,231922,223581,224906,249552,232138,215599,218664,232873,238795,250253,272268
1013,365403,383051,405904,440445,432981,451960,491080,478870,449369,530579,559415,559656,582905,593153,615852,601096,627398,660163,664893
1015,2719537,2859680,2997971,3324586,3568305,3777282,4024250,4156337,4049773,4238183,4153945,4185918,4091975,4047759,4041585,4117248,4218400,4402334,4590003
1017,702379,732433,669342,744603,709929,707470,701681,636745,623913,646638,672987,750106,996526,977011,987823,921607,876383,906708,953730
1019,312699,318075,336326,372840,365661,403636,434303,452363,428216,452084,475347,472852,525307,511811,529936,521848,546458,591293,598746
1021,498268,532113,563391,619985,646491,699949,715802,701312,708357,726726,781607,826937,881871,863768,899018,923432,976236,1032642,1088804
1023,514737,448651,418649,483146,549337,628000,551609,555611,373475,401820,464666,564511,575598,574949,548765,536643,538181,603115,610383
1025,539533,552550,559307,625506,667131,742299,761486,740789,736987,725962,760688,794173,833313,835626,841959,836702,825412,876370,898449
1027,255902,266728,250841,280212,313040,355679,312499,292693,284740,287746,273474,280554,310758,319745,341114,368041,404283,449094,446444
1029,210413,213111,214084,238187,251914,253148,248828,264836,240784,255457,248745,266164,287578,304564,313774,296729,306775,318536,293412
1031,798754,820387,838087,932002,965559,982251,1063540,1109353,1156636,1183258,1153916,1208587,1242826,1293018,1396531,1406574,1426212,1476132,1508238
1033,1415688,1470292,1625779,1792657,1907776,2063344,2089453,2142428,1918713,2152899,2342966,2380790,2664387,2654110,2632285,2518189,2469725,2599129,2668227
1035,248334,251365,258495,291474,352420,427014,469991,558447,415970,406270,492552,512476,537801,472137,389071,384416,399073,411683,418672
