"fips","no_high_1970","high_only_1970","some_college_1_3_yrs_1970","four_years_college_or_more_1970","no_high_1980","high_only_1980","some_college_1_3_yrs_1980","four_years_college_or_more_1980","no_high_1990","high_only_1990","some_college_associates_1990","bachelors_degree_or_more_1990","no_high_2000","high_only_2000","some_college_associates_2000","bachelors_degree_or_more_2000","no_high_2014_18","high_only_2014_18","some_college_associates_2014_18","bachelors_degree_or_more_2014_18","pct_adults_no_high_1970","pct_adults_only_high_1970","pct_adults_some_college_1_3_yrs_1970","pct_adults_four_yrs_college_or_more_1970","pct_adults_no_high_1980","pct_adults_only_high_1980","pct_adults_some_college_1_3_yrs_1980","pct_adults_four_yrs_college_or_more_1980","pct_adults_no_high_1990","pct_adults_only_high_1990","pct_adults_some_college_associates_1990","pct_adults_bachelors_or_more_1990","pct_adults_no_high_2000","pct_adults_only_high_2000","pct_adults_some_college_associates_2000","pct_adults_bachelors_or_more_2000","pct_adults_no_high_2014_18","pct_adults_only_high_2014_18","pct_adults_some_college_associates_2014_18","pct_adults_bachelors_or_more_2014_18"
"01001",6611,3757,933,767,7074,6145,2104,2117,6252,6671,4912,3026,5872,9332,7413,4972,4204,12119,10552,10291,54.8,31.1,7.7,6.4,40.6,35.2,12.1,12.1,30,32,23.5,14.5,21.3,33.8,26.9,18,11.3,32.6,28.4,27.7
"01003",18726,8426,2334,2038,18125,15380,6602,5498,17309,20544,15900,10870,17258,28428,28178,22146,14310,40579,46025,46075,59.4,26.7,7.4,6.5,39.7,33.7,14.5,12.1,26.8,31.8,24.6,16.8,18,29.6,29.3,23.1,9.7,27.6,31.3,31.3
"01005",8120,2242,581,861,7759,3671,1362,1300,6965,4258,2622,1857,6679,6124,4025,2068,4901,6486,4566,2220,68.8,19,4.9,7.3,55.1,26.1,9.7,9.2,44.4,27.1,16.7,11.8,35.3,32.4,21.3,10.9,27,35.7,25.1,12.2
"01007",5272,1402,238,302,5254,2611,536,433,4850,3407,1332,476,4984,4838,2756,962,2650,7471,3846,1813,73.1,19.4,3.3,4.2,59.5,29.6,6.1,4.9,48.2,33.8,13.2,4.7,36.8,35.7,20.4,7.1,16.8,47.3,24.4,11.5
"01009",10677,3440,626,404,11666,7011,1819,1144,9960,8763,4745,1773,9960,12136,8371,3235,7861,13489,13267,5010,70.5,22.7,4.1,2.7,53.9,32.4,8.4,5.3,39.5,34.7,18.8,7,29.6,36,24.8,9.6,19.8,34,33.5,12.6
"01011",4245,958,305,314,3473,1324,574,516,3428,1669,954,676,2992,2667,1325,586,1760,2817,1582,945,72.9,16.5,5.2,5.4,59,22.5,9.8,8.8,51,24.8,14.2,10,39.5,35.2,17.5,7.7,24.8,39.7,22.3,13.3
"01013",8353,2459,499,541,6929,3635,1016,1029,6374,3927,2106,1083,4439,4749,3146,1433,2141,6091,3421,2235,70.5,20.7,4.2,4.6,55,28.8,8.1,8.2,47.2,29.1,15.6,8,32.2,34.5,22.9,10.4,15.4,43.9,24.6,16.1
"01015",30535,13804,3823,3921,28268,21411,8449,7213,23633,21711,16835,10266,19318,23856,19576,11265,12620,25653,26643,14219,58.6,26.5,7.3,7.5,43.3,32.8,12.9,11,32.6,30,23.2,14.2,26.1,32.2,26.4,15.2,15.9,32.4,33.7,18
"01017",13616,4816,927,847,12616,6544,2238,1710,10833,6749,3998,2101,8778,7863,5517,2339,4383,9060,7003,3118,67.4,23.8,4.6,4.2,54.6,28.3,9.7,7.4,45.7,28.5,16.9,8.9,35.8,32.1,22.5,9.5,18.6,38.4,29.7,13.2
"01019",6126,1878,440,329,6372,3158,985,712,6030,4092,1966,866,6138,5865,3186,1636,3692,7157,5417,2407,69.8,21.4,5,3.8,56.8,28.1,8.8,6.3,46.5,31.6,15.2,6.7,36.5,34.9,18.9,9.7,19.8,38.3,29,12.9
"01021",10285,2805,538,415,9678,5578,1518,1158,9023,6770,3438,1550,8757,9264,5307,2574,5302,13125,7147,4219,73.2,20,3.8,3,54,31.1,8.5,6.5,43.4,32.6,16.5,7.5,33.8,35.8,20.5,9.9,17.8,44.1,24,14.2
