"fips","tot_indiv_poverty_2018","pct_povall_2018"
"01001",7587,13.8
"01003",21069,9.8
"01005",6788,30.9
"01007",4400,21.8
"01009",7527,13.2
"01011",3610,42.5
"01013",4731,24.5
"01015",21719,19.5
"01017",6181,18.7
"01019",4180,16.3
"01021",7542,17.3
"01023",2806,22.1
"01025",5381,22.8
"01027",2285,17.6
"01029",2356,16
"01031",7053,13.8
"01033",7459,13.8
"01035",2979,24.4
"01037",1973,18.9
"01039",7239,19.9
"01041",2661,19.5
"01043",11925,14.5
"01045",7743,16.2
"01047",11841,31.4
"01049",14975,21.3
"01051",8559,11.2
"01053",8022,23.6
"01055",17509,17.5
"01057",3801,23.5
"01059",5939,19.2
"01061",5537,21.3
"01063",2459,30.1
"01065",3705,25.6
"01067",3037,17.9
"01069",17032,16.5
"01071",10046,19.7
"01073",103604,16.1
"01075",2374,17.4
"01077",12645,14
"01079",6297,19.3
"01081",30075,19
"01083",10633,11.4
"01085",2474,25.1
"01087",5031,30.2
"01089",42667,11.9
"01091",4499,24
"01093",5844,20.2
"01095",17341,18.3
"01097",84539,20.8
"01099",4560,21.9
"01101",43567,20.1
"01103",15419,13.2
"01105",2943,35.3
"01107",4177,23.1
"01109",7315,23.6
"01111",4375,19.7
"01113",12384,21.7
"01115",10432,12
"01117",16916,8
"01119",4076,34.7
"01121",14825,19.3
"01123",7839,19.7
"01125",33330,16.8
"01127",11231,17.9
"01129",2846,17.6
"01131",3504,33.4
"01133",4338,18.6
"02013",544,15.5
"02016",550,10
"02020",27075,9.5
"02050",5869,32.7
"02060",96,11.2
"02068",135,6.9
"02070",1091,22
"02090",8104,8.6
"02100",259,10.5
"02105",370,17.2
"02110",2299,7.3
"02122",7103,12.4
"02130",1244,9.1
"02150",1073,8.2
"02158",2905,35.1
"02164",288,18.2
"02170",10937,10.4
"02180",2168,22
"02185",1094,11.1
"02188",1604,21.1
"02195",232,7.2
"02198",1057,16.5
"02220",656,7.7
"02230",49,4.3
"02240",918,13.4
"02261",880,9.7
"02275",287,11.6
"02282",79,13.1
"02290",1259,23.7
"04001",26435,37.3
"04003",18273,15.1
"04005",20964,15.9
"04007",10804,20.4
"04009",7118,20.2
"04011",985,10.5
"04012",4921,23.7
"04013",535183,12.3
"04015",34411,16.8
"04017",30876,28.5
"04019",164927,16.2
"04021",54399,12.9
"04023",11287,24.4
"04025",30060,13.2
"04027",39648,19.5
"05001",3120,17.9
"05003",3876,19.6
"05005",6216,15.1
"05007",23290,8.6
"05009",5472,14.8
"05011",2329,21.7
"05013",800,15.7
"05015",4499,16.1
"05017",3039,31.4
"05019",3838,19.9
"05021",3035,20.7
"05023",3573,14.6
"05025",1232,15.5
"05027",4799,22.4
"05029",3693,17.9
"05031",18768,17.9
"05033",10027,16
"05035",9056,19.2
"05037",2940,18
"05039",1442,21.3
"05041",2780,24.3
"05043",3391,19.5
"05045",18571,15.4
"05047",3202,18.3
"05049",2481,20.6
"05051",19844,20.4
"05053",2353,13.1
"05055",7361,16.5
"05057",4424,20.6
"05059",5844,18.7
"05061",2271,17.3
"05063",5302,14.5
"05065",2358,18.7
"05067",3732,25.6
"05069",13900,22.2
"05071",5761,22.2
"05073",1498,22.8
"05075",2776,17.7
"05077",3098,43
"05079",2647,27.5
"05081",1942,16
"05083",3950,18.6
"05085",8651,11.9
"05087",3002,18.4
"05089",3082,18.7
"05091",9228,21.9
"05093",10325,25.7
"05095",1769,26
"05097",1649,18.8
"05099",1738,21.3
"05101",1340,17.4
"05103",5410,23.3
"05105",1502,14.7
"05107",6301,35.4
"05109",1856,17.8
"05111",5592,23.7
"05113",3962,20
"05115",9647,16
"05117",1254,15.8
"05119",64312,16.7
"05121",3050,17.4
"05123",7586,35.6
"05125",11695,9.7
"05127",2054,20.2
"05129",1912,24.3
"05131",19527,15.6
"05133",3402,20.1
"05135",3541,20.7
"05137",2497,20.3
"05139",7000,18.2
"05141",2685,16.4
"05143",34741,15.2
"05145",12505,16.6
"05147",1509,23.7
"05149",3453,16.3
"06001",147394,9
"06003",190,17.3
"06005",4130,11.8
"06007",42016,18.5
"06009",5454,12.1
"06011",2350,11
"06013",88980,7.8
"06015",5065,20.4
"06017",15401,8.1
"06019",208627,21.3
"06021",4271,15.4
"06023",27002,20.3
"06025",37014,21.4
"06027",2172,12.3
"06029",177021,20.5
"06031",25481,18.8
"06033",11689,18.4
"06035",3653,15.8
"06037",1409155,14.2
"06039",30201,20.2
"06041",16742,6.6
"06043",2569,14.9
"06045",15140,17.5
"06047",56863,21.2
"06049",1631,19.1
"06051",1312,9.3
