"fips","civilian_labor_force_2000","employed_2000","unemployed_2000","civilian_labor_force_2001","employed_2001","unemployed_2001","civilian_labor_force_2002","employed_2002","unemployed_2002","civilian_labor_force_2003","employed_2003","unemployed_2003","civilian_labor_force_2004","employed_2004","unemployed_2004","civilian_labor_force_2005","employed_2005","unemployed_2005","civilian_labor_force_2006","employed_2006","unemployed_2006","civilian_labor_force_2007","employed_2007","unemployed_2007","civilian_labor_force_2008","employed_2008","unemployed_2008","civilian_labor_force_2009","employed_2009","unemployed_2009","civilian_labor_force_2010","employed_2010","unemployed_2010","civilian_labor_force_2011","employed_2011","unemployed_2011","civilian_labor_force_2012","employed_2012","unemployed_2012","civilian_labor_force_2013","employed_2013","unemployed_2013","civilian_labor_force_2014","employed_2014","unemployed_2014","civilian_labor_force_2015","employed_2015","unemployed_2015","civilian_labor_force_2016","employed_2016","unemployed_2016","civilian_labor_force_2017","employed_2017","unemployed_2017","civilian_labor_force_2018","employed_2018","unemployed_2018","civilian_labor_force_2019","employed_2019","unemployed_2019","median_household_income_2018","med_hh_income_percent_of_state_total_2018","unemployment_rate_2000","unemployment_rate_2001","unemployment_rate_2002","unemployment_rate_2003","unemployment_rate_2004","unemployment_rate_2005","unemployment_rate_2006","unemployment_rate_2007","unemployment_rate_2008","unemployment_rate_2009","unemployment_rate_2010","unemployment_rate_2011","unemployment_rate_2012","unemployment_rate_2013","unemployment_rate_2014","unemployment_rate_2015","unemployment_rate_2016","unemployment_rate_2017","unemployment_rate_2018","unemployment_rate_2019"
"01001",21720,20846,874,21955,21055,900,22094,21035,1059,22604,21462,1142,23218,22103,1115,23949,23037,912,24398,23585,813,24383,23577,806,24687,23420,1267,24703,22301,2402,25713,23431,2282,25836,23677,2159,25740,23961,1779,25810,24205,1605,25592,24097,1495,25652,24321,1331,26031,24709,1322,26075,25062,1013,26196,25261,935,26172,25458,714,59338,118.959122712055,4,4.1,4.8,5.1,4.8,3.8,3.3,3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.8,5.2,5.1,3.9,3.6,2.7
"01003",69533,66971,2562,69161,66195,2966,69169,65691,3478,72299,68702,3597,74772,70919,3853,76804,73743,3061,79711,77147,2564,82659,80099,2560,83223,79372,3851,82451,74403,8048,83459,75120,8339,85045,77418,7627,84414,78065,6349,85280,79626,5654,86384,81083,5301,87872,83010,4862,90895,86060,4835,92456,88711,3745,95233,91809,3424,97328,94675,2653,57588,115.450772839358,3.7,4.3,5,5,5.2,4,3.2,3.1,4.6,9.8,10,9,7.5,6.6,6.1,5.5,5.3,4.1,3.6,2.7
"01005",11373,10748,625,11250,10412,838,10971,10125,846,10977,10196,781,10633,9865,768,10760,10136,624,10705,10096,609,10334,9684,650,10161,9267,894,10003,8572,1431,10221,8959,1262,9849,8712,1137,9362,8283,1079,9099,8168,931,8845,7913,932,8625,7860,765,8436,7736,700,8349,7863,486,8414,7987,427,8537,8213,324,34382,68.9280487560394,5.5,7.4,7.7,7.1,7.2,5.8,5.7,6.3,8.8,14.3,12.3,11.5,11.5,10.2,10.5,8.9,8.3,5.8,5.1,3.8
"01007",8565,8111,454,9081,8468,613,8933,8309,624,8836,8309,527,8843,8359,484,8861,8463,398,8850,8477,373,8791,8432,359,8749,8241,508,8742,7581,1161,8934,7914,1020,8933,7996,937,8798,8047,751,8705,8016,689,8559,7942,617,8589,8021,568,8644,8088,556,8583,8208,375,8605,8268,337,8685,8419,266,46064,92.3477877348088,5.3,6.8,7,6,5.5,4.5,4.2,4.1,5.8,13.3,11.4,10.5,8.5,7.9,7.2,6.6,6.4,4.4,3.9,3.1
"01009",25106,24231,875,25305,24393,912,25757,24366,1391,25900,24702,1198,26208,25101,1107,26446,25491,955,26770,25902,868,26629,25780,849,26698,25453,1245,26480,23832,2648,24906,22460,2446,25123,22939,2184,24960,23244,1716,24887,23325,1562,24527,23023,1504,24521,23198,1323,24684,23358,1326,24822,23824,998,25069,24201,868,25331,24655,676,50412,101.064533589944,3.5,3.6,5.4,4.6,4.2,3.6,3.2,3.2,4.7,10,9.8,8.7,6.9,6.3,6.1,5.4,5.4,4,3.5,2.7
"01011",3971,3635,336,3912,3524,388,3877,3483,394,3979,3540,439,3880,3430,450,3747,3391,356,3702,3372,330,3653,3308,345,3634,3251,383,3739,3156,583,4941,4356,585,4833,4272,561,4736,4245,491,4778,4331,447,4732,4314,418,4785,4406,379,4844,4514,330,4852,4614,238,4791,4571,220,4818,4643,175,29267,58.6736432709849,8.5,9.9,10.2,11,11.6,9.5,8.9,9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.8,7.9,6.8,4.9,4.6,3.6
"01013",9156,8445,711,9003,8328,675,9144,8424,720,9183,8386,797,9088,8224,864,9139,8547,592,9238,8709,529,9099,8539,560,9051,8278,773,9104,7615,1489,9261,7998,1263,9188,8042,1146,9088,8039,1049,9147,8206,941,9270,8477,793,9151,8457,694,9229,8593,636,8975,8481,494,8973,8553,420,9263,8925,338,37365,74.9082817104709,7.8,7.5,7.9,8.7,9.5,6.5,5.7,6.2,8.5,16.4,13.6,12.5,11.5,10.3,8.6,7.6,6.9,5.5,4.7,3.6
"01015",52896,50223,2673,51578,48744,2834,51952,48851,3101,52817,49673,3144,54026,51065,2961,53955,51524,2431,54063,51872,2191,54861,52709,2152,54564,51468,3096,53925,47929,5996,51559,45699,5860,51268,45963,5305,49649,45252,4397,48405,44163,4242,47237,43467,3770,45995,42764,3231,46013,43016,2997,45950,43679,2271,46307,44191,2116,46209,44574,1635,45400,91.0166195545398,5.1,5.5,6,6,5.5,4.5,4.1,3.9,5.7,11.1,11.4,10.3,8.9,8.8,8,7,6.5,4.9,4.6,3.5
"01017",17373,16610,763,17424,16481,943,17158,16010,1148,16829,15745,1084,16607,15438,1169,16353,15413,940,15749,14828,921,15474,14469,1005,15012,12848,2164,14650,11777,2873,14754,12554,2200,15200,13380,1820,15140,13646,1494,15275,14058,1217,15302,14276,1026,15002,14097,905,15043,14225,818,15260,14639,621,15366,14775,591,15748,15286,462,39917,80.0244582105411,4.4,5.4,6.7,6.4,7,5.7,5.8,6.5,14.4,19.6,14.9,12,9.9,8,6.7,6,5.4,4.1,3.8,2.9
"01019",11304,10797,507,11339,10824,515,11555,11007,548,11929,11342,587,12058,11478,580,12044,11519,525,11854,11352,502,11984,11484,500,11996,11308,688,11758,10384,1374,11464,10245,1219,11476,10364,1112,11268,10363,905,11403,10649,754,11386,10725,661,11179,10570,609,11382,10808,574,11385,10922,463,11688,11276,412,11604,11266,338,42132,84.4650267636976,4.5,4.5,4.7,4.9,4.8,4.4,4.2,4.2,5.7,11.7,10.6,9.7,8,6.6,5.8,5.4,5,4.1,3.5,2.9
"01021",19475,18641,834,19464,18533,931,19393,18403,990,19478,18499,979,19630,18702,928,19674,18901,773,19771,19059,712,19737,19067,670,19610,18618,992,19445,17375,2070,19462,17464,1998,19539,17753,1786,19383,17982,1401,19359,18090,1269,19096,17899,1197,19171,18090,1081,19266,18213,1053,19333,18547,786,19624,18924,700,19818,19280,538,47547,95.3208636555001,4.3,4.8,5.1,5,4.7,3.9,3.6,3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,5.6,5.5,4.1,3.6,2.7
"01023",6184,5781,403,5869,5452,417,5731,5224,507,5651,5085,566,5462,4992,470,5300,4951,349,5329,5030,299,5183,4875,308,5069,4646,423,5134,4442,692,4860,4216,644,4764,4138,626,4791,4297,494,4703,4270,433,4494,4089,405,4386,3988,398,4344,3976,368,4424,4145,279,4749,4493,256,4670,4452,218,39907,80.0044104969828,6.5,7.1,8.8,10,8.6,6.6,5.6,5.9,8.3,13.5,13.3,13.1,10.3,9.2,9,9.1,8.5,6.3,5.4,4.7
"01025",11597,10750,847,11019,9945,1074,10718,9747,971,10769,9839,930,10391,9464,927,10126,9478,648,10261,9622,639,10358,9730,628,10351,9419,932,10381,8664,1717,9108,7300,1808,8843,7181,1662,8374,7116,1258,8285,7145,1140,8155,7162,993,8006,7068,938,7985,7121,864,7765,7107,658,7659,7096,563,7557,7121,436,40741,81.6763898077424,7.3,9.7,9.1,8.6,8.9,6.4,6.2,6.1,9,16.5,19.9,18.8,15,13.8,12.2,11.7,10.8,8.5,7.4,5.8
"01027",6565,6163,402,6366,5981,385,6146,5763,383,5923,5492,431,5891,5515,376,5950,5655,295,6182,5902,280,6113,5775,338,5733,5279,454,5643,4703,940,5851,5005,846,5598,4935,663,5413,4905,508,5393,4943,450,5511,5117,394,5559,5219,340,5648,5314,334,5819,5567,252,6010,5784,226,6101,5918,183,39201,78.5890419197691,6.1,6,6.2,7.3,6.4,5,4.5,5.5,7.9,16.7,14.5,11.8,9.4,8.3,7.1,6.1,5.9,4.3,3.8,3
"01029",6958,6676,282,6921,6559,362,6774,6436,338,6672,6267,405,6682,6327,355,6659,6396,263,6639,6406,233,6483,6246,237,6557,6225,332,6514,5851,663,6033,5429,604,5939,5365,574,5838,5358,480,5830,5383,447,5853,5467,386,5688,5346,342,5810,5464,346,5747,5489,258,5795,5552,243,5806,5623,183,46495,93.2118441891702,4.1,5.2,5,6.1,5.3,3.9,3.5,3.7,5.1,10.2,10,9.7,8.2,7.7,6.6,6,6,4.5,4.2,3.2
"01031",19902,18748,1154,19276,18084,1192,19300,18301,999,19932,18834,1098,20221,19136,1085,20104,19320,784,20691,19917,774,21077,20275,802,20911,19897,1014,21436,19612,1824,21088,19271,1817,20749,19059,1690,20612,19159,1453,20516,19105,1411,20228,18884,1344,20309,19100,1209,20684,19474,1210,20969,20049,920,21007,20193,814,21402,20779,623,55122,110.507006675889,5.8,6.2,5.2,5.5,5.4,3.9,3.7,3.8,4.8,8.5,8.6,8.1,7,6.9,6.6,6,5.8,4.4,3.9,2.9
"01033",25950,24511,1439,25609,23856,1753,24971,22891,2080,24562,22720,1842,24751,22986,1765,24960,23610,1350,25307,24128,1179,25386,24216,1170,25160,23523,1637,25414,22461,2953,24228,21453,2775,24386,21905,2481,24026,21922,2104,23896,21937,1959,24027,22034,1993,23647,21776,1871,23548,21918,1630,23343,22130,1213,23541,22478,1063,23646,22761,885,49055,98.344058860087,5.5,6.8,8.3,7.5,7.1,5.4,4.7,4.6,6.5,11.6,11.5,10.2,8.8,8.2,8.3,7.9,6.9,5.2,4.5,3.7
"01035",5483,5127,356,5274,4890,384,5163,4740,423,5149,4707,442,5061,4630,431,5188,4866,322,5123,4833,290,4965,4646,319,4878,4421,457,4908,3930,978,4991,4131,860,4785,4057,728,4635,4082,553,4695,4191,504,4716,4229,487,4690,4258,432,4567,4184,383,4505,4230,275,4512,4281,231,4533,4353,180,32613,65.3816082275817,6.5,7.3,8.2,8.6,8.5,6.2,5.7,6.4,9.4,19.9,17.2,15.2,11.9,10.7,10.3,9.2,8.4,6.1,5.1,4
"01037",5295,5009,286,5300,4942,358,5182,4699,483,5056,4641,415,4911,4560,351,4892,4645,247,4794,4525,269,4686,4415,271,4659,4274,385,4593,3856,737,4654,3937,717,4477,3918,559,4445,4029,416,4452,4044,408,4467,4074,393,4434,4138,296,4399,4137,262,4396,4191,205,4426,4246,180,4549,4414,135,42423,85.0484152282432,5.4,6.8,9.3,8.2,7.1,5,5.6,5.8,8.3,16,15.4,12.5,9.4,9.2,8.8,6.7,6,4.7,4.1,3
"01039",17316,16124,1192,16846,15782,1064,17095,16082,1013,17322,16110,1212,17171,16019,1152,16933,16167,766,17195,16529,666,17070,16409,661,16800,15803,997,16719,14912,1807,16417,14721,1696,16367,14764,1603,16345,14978,1367,16066,14768,1298,15911,14674,1237,15487,14382,1105,15556,14509,1047,15779,14958,821,15652,14945,707,15653,15119,534,40203,80.5978228183076,6.9,6.3,5.9,7,6.7,4.5,3.9,3.9,5.9,10.8,10.3,9.8,8.4,8.1,7.8,7.1,6.7,5.2,4.5,3.4
"01041",6115,5766,349,6000,5641,359,5827,5473,354,5920,5517,403,5818,5418,400,6186,5882,304,6595,6332,263,6546,6264,282,6464,6105,359,6439,5768,671,6285,5646,639,6432,5798,634,6251,5732,519,6311,5828,483,6298,5862,436,6367,5986,381,6480,6101,379,6429,6138,291,6369,6114,255,6476,6293,183,39057,78.30035484453,5.7,6,6.1,6.8,6.9,4.9,4,4.3,5.6,10.4,10.2,9.9,8.3,7.7,6.9,6,5.8,4.5,4,2.8
"01043",38647,37053,1594,37982,36230,1752,37936,35655,2281,38276,36045,2231,38483,36472,2011,38494,36946,1548,39375,38026,1349,39367,38047,1320,39096,37188,1908,38537,34585,3952,35959,32202,3757,35669,32279,3390,35568,32835,2733,35783,33402,2381,35919,33738,2181,36456,34541,1915,38064,36179,1885,37976,36556,1420,38113,36879,1234,38646,37648,998,45796,91.8105090114473,4.1,4.6,6,5.8,5.2,4,3.4,3.4,4.9,10.3,10.4,9.5,7.7,6.7,6.1,5.3,5,3.7,3.2,2.6
"01045",20785,19702,1083,20127,19012,1115,20260,19107,1153,20546,19457,1089,20505,19401,1104,20168,19269,899,20480,19522,958,20250,19450,800,19832,18760,1072,20033,18100,1933,22072,20124,1948,22017,20188,1829,21370,19781,1589,20750,19220,1530,20316,18878,1438,19875,18612,1263,20043,18888,1155,20014,19120,894,20257,19424,833,20724,20082,642,45309,90.8341853611596,5.2,5.5,5.7,5.3,5.4,4.5,4.7,4,5.4,9.6,8.8,8.3,7.4,7.4,7.1,6.4,5.8,4.5,4.1,3.1
"01047",17823,16389,1434,17483,15881,1602,17135,15181,1954,16783,14878,1905,16375,14726,1649,16007,14636,1371,15903,14594,1309,15555,14259,1296,15473,13758,1715,15868,12516,3352,17808,14806,3002,17514,14866,2648,16746,14583,2163,16293,14301,1992,16003,14204,1799,15617,14122,1495,15480,14059,1421,15084,13956,1128,14880,13927,953,14711,13904,807,34035,68.2323930955674,8,9.2,11.4,11.4,10.1,8.6,8.2,8.3,11.1,21.1,16.9,15.1,12.9,12.2,11.2,9.6,9.2,7.5,6.4,5.5
