"global","time","emigrant_n","emigrant_pc","immigrant_n","immigrant_pc","journakilled","ndisasd_noep_rate","ndisasd_noep_tot","ndisasd_rate","ndisasd_tot","num_countries_fhos","percit_1_5m","percit_300_500k","percit_5_10m","percit_500k_1m","percit_less_300k","percit_more_10m","popcit_1_5m","popcit_300_500k","popcit_5_10m","popcit_500k_1m","popcit_less_300k","popcit_more_10m","refugee_in_perc_wb","wn_bothhouses_c"
"world",1900,NA,NA,NA,NA,NA,770.46,1267470,770.47,1267500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1901,NA,NA,NA,NA,NA,0.01,18,120.63,200018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1902,NA,NA,NA,NA,NA,28.97,48438,28.97,48438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1903,NA,NA,NA,NA,NA,4.23,7136,4.23,7136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1904,NA,NA,NA,NA,NA,0.09,152,0.09,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1905,NA,NA,NA,NA,NA,12.21,20946,12.21,20946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1906,NA,NA,NA,NA,NA,19.45,33657,19.45,33657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1907,NA,NA,NA,NA,NA,7.58,13241,752.24,1313241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1908,NA,NA,NA,NA,NA,42.6,75033,42.6,75033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1909,NA,NA,NA,NA,NA,6.65,11816,851.27,1511856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1910,NA,NA,NA,NA,NA,49.71,88993,83.23,148993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1911,NA,NA,NA,NA,NA,57.49,103705,57.49,103705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1912,NA,NA,NA,NA,NA,28.67,52093,28.67,52093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1913,NA,NA,NA,NA,NA,1.07,1962,1.07,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1914,NA,NA,NA,NA,NA,2.39,4408,2.39,4408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1915,NA,NA,NA,NA,NA,17.43,32337,17.43,32337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1916,NA,NA,NA,NA,NA,0.26,481,0.26,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1917,NA,NA,NA,NA,NA,12.52,23561,1341.51,2523561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1918,NA,NA,NA,NA,NA,5.94,11250,243.31,460950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1919,NA,NA,NA,NA,NA,2.88,5500,2.88,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1920,NA,NA,NA,NA,NA,367.47,706872,1667.1,3206872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1921,NA,NA,NA,NA,NA,618.81,1200000,618.81,1200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1922,NA,NA,NA,NA,NA,51.74,101175,51.74,101175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1923,NA,NA,NA,NA,NA,78.22,154286,128.92,254286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1924,NA,NA,NA,NA,NA,1.65,3279,152.42,303279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1925,NA,NA,NA,NA,NA,3.47,6972,3.47,6972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1926,NA,NA,NA,NA,NA,2.4,4852,211.28,427852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1927,NA,NA,NA,NA,NA,26.07,53270,26.07,53270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1928,NA,NA,NA,NA,NA,1457.67,3004895,1457.67,3004895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1929,NA,NA,NA,NA,NA,4,8330,4,8330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1930,NA,NA,NA,NA,NA,5.28,11092,5.28,11092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1931,NA,NA,NA,NA,NA,1753.52,3719108,1753.52,3719108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1932,NA,NA,NA,NA,NA,2.29,4901,2.3,4917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1933,NA,NA,NA,NA,NA,14.53,31442,14.53,31442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1934,NA,NA,NA,NA,NA,2.61,5711,2.61,5711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1935,NA,NA,NA,NA,NA,123.17,272119,124.07,274119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1936,NA,NA,NA,NA,NA,2.64,5886,2.64,5886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1937,NA,NA,NA,NA,NA,5.52,12450,5.52,12450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1938,NA,NA,NA,NA,NA,0.97,2208,0.97,2208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1939,NA,NA,NA,NA,NA,244.63,563205,244.63,563205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1940,NA,NA,NA,NA,NA,9.32,21650,9.96,23150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"world",1941,NA,NA,NA,NA,NA,5.43,12730,5.43,12730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
