"Region","Year","ihme_cardio_death","ihme_conflict_death","ihme_hiv_death","refugee_in_perc_wb","wn_bothhouses_c"
"Africa",1948,NA,NA,NA,NA,1.31
"Africa",1949,NA,NA,NA,NA,1.43
"Africa",1950,NA,NA,NA,NA,0.51
"Africa",1951,NA,NA,NA,NA,0.6
"Africa",1952,NA,NA,NA,NA,0.6
"Africa",1953,NA,NA,NA,NA,0.68
"Africa",1954,NA,NA,NA,NA,0.5
"Africa",1955,NA,NA,NA,NA,0.4
"Africa",1956,NA,NA,NA,NA,0.48
"Africa",1957,NA,NA,NA,NA,0.63
"Africa",1958,NA,NA,NA,NA,0.75
"Africa",1959,NA,NA,NA,NA,0.9
"Africa",1960,NA,NA,NA,NA,1.17
"Africa",1961,NA,NA,NA,NA,1.3
"Africa",1962,NA,NA,NA,NA,1.7
"Africa",1963,NA,NA,NA,NA,1.85
"Africa",1964,NA,NA,NA,NA,1.88
"Africa",1965,NA,NA,NA,NA,1.9
"Africa",1966,NA,NA,NA,NA,1.92
"Africa",1967,NA,NA,NA,NA,1.97
"Africa",1968,NA,NA,NA,NA,2.12
"Africa",1969,NA,NA,NA,NA,2.4
"Africa",1970,NA,NA,NA,NA,2.87
"Africa",1971,NA,NA,NA,NA,3.41
"Africa",1972,NA,NA,NA,NA,3.93
"Africa",1973,NA,NA,NA,NA,4.25
"Africa",1974,NA,NA,NA,NA,4.56
"Africa",1975,NA,NA,NA,NA,4.94
"Africa",1976,NA,NA,NA,NA,4.86
"Africa",1977,NA,NA,NA,NA,5.17
"Africa",1978,NA,NA,NA,NA,5.45
"Africa",1979,NA,NA,NA,NA,5.85
"Africa",1980,NA,NA,NA,NA,5.84
"Africa",1981,NA,NA,NA,NA,5.9
"Africa",1982,NA,NA,NA,NA,5.98
"Africa",1983,NA,NA,NA,NA,6.02
"Africa",1984,NA,NA,NA,NA,6.1
"Africa",1985,NA,NA,NA,NA,6.15
"Africa",1986,NA,NA,NA,NA,6.18
"Africa",1987,NA,NA,NA,NA,6.26
"Africa",1988,NA,NA,NA,NA,6.47
"Africa",1989,NA,NA,NA,NA,6.57
"Africa",1990,11.29866,0.9201,3.56309,0.9359,6.87
"Africa",1991,11.36117,0.41033,4.4775,0.8164,7.32
"Africa",1992,11.41066,0.17444,5.44845,0.827,7.07
"Africa",1993,11.4692,0.25168,6.44878,0.9425,7.45
"Africa",1994,10.8544,5.95194,7.04002,0.9668,8.04
"Africa",1995,11.4737,0.34636,8.49125,0.834,8.47
"Africa",1996,11.50164,0.6858,9.46571,0.594,8.81
"Africa",1997,11.53455,1.09655,10.41253,0.4636,9.32
"Africa",1998,11.54489,0.90152,11.39405,0.4337,9.93
"Africa",1999,11.48437,1.20811,12.27718,0.4458,10.75
"Africa",2000,11.4755,0.9527,13.22726,0.4479,11.69
"Africa",2001,11.57006,0.34297,14.07151,0.3958,12.97
"Africa",2002,11.59897,0.41675,14.76522,0.3934,14.05
"Africa",2003,11.65886,0.39844,15.38035,0.3601,15.55
"Africa",2004,11.73534,0.35329,15.89108,0.3387,16.42
"Africa",2005,11.88717,0.19876,16.25696,0.3026,16.66
"Africa",2006,12.09284,0.09173,16.33809,0.2781,17.14
"Africa",2007,12.27499,0.09228,16.19322,0.2598,17.6
"Africa",2008,12.55546,0.15117,15.68327,0.2366,18.39
"Africa",2009,12.88272,0.21387,15.06634,0.2274,19.36
"Africa",2010,13.25433,0.11037,14.31026,0.2321,19.99
"Africa",2011,13.56606,0.64793,13.34597,0.2746,20.37
"Africa",2012,14.10168,0.16226,12.49344,0.2808,21.21
"Africa",2013,14.49822,0.24899,11.5005,0.3012,21.81
"Africa",2014,14.89635,0.37606,10.56148,0.3586,22.06
"Africa",2015,15.4611,0.10312,9.83621,0.4075,21.9
"Africa",2016,15.93763,0.21843,9.07275,0.4566,21.68
"Africa",2017,16.36649,0.31196,8.27482,0.5382,22.49
"Africa",2018,NA,NA,NA,0.5317,22.92
"Africa",2019,NA,NA,NA,0.5208,23.12
"Africa",2020,NA,NA,NA,NA,23.61
"Americas",1945,NA,NA,NA,NA,0.35
"Americas",1946,NA,NA,NA,NA,1.35
"Americas",1947,NA,NA,NA,NA,1.16
"Americas",1948,NA,NA,NA,NA,0.95
"Americas",1949,NA,NA,NA,NA,1.26
"Americas",1950,NA,NA,NA,NA,1.85
"Americas",1951,NA,NA,NA,NA,2.35
"Americas",1952,NA,NA,NA,NA,2.48
"Americas",1953,NA,NA,NA,NA,2.79
"Americas",1954,NA,NA,NA,NA,3.18
"Americas",1955,NA,NA,NA,NA,3.43
"Americas",1956,NA,NA,NA,NA,3.15
"Americas",1957,NA,NA,NA,NA,2.48
"Americas",1958,NA,NA,NA,NA,2.25
"Americas",1959,NA,NA,NA,NA,2.46
"Americas",1960,NA,NA,NA,NA,2.69
"Americas",1961,NA,NA,NA,NA,2.89
"Americas",1962,NA,NA,NA,NA,3.15
"Americas",1963,NA,NA,NA,NA,3.16
"Americas",1964,NA,NA,NA,NA,3.38
"Americas",1965,NA,NA,NA,NA,3.56
"Americas",1966,NA,NA,NA,NA,4.03
"Americas",1967,NA,NA,NA,NA,4.13
"Americas",1968,NA,NA,NA,NA,4
"Americas",1969,NA,NA,NA,NA,4.57
"Americas",1970,NA,NA,NA,NA,4.91
"Americas",1971,NA,NA,NA,NA,5.3
"Americas",1972,NA,NA,NA,NA,5.54
"Americas",1973,NA,NA,NA,NA,6.07
"Americas",1974,NA,NA,NA,NA,6.16
"Americas",1975,NA,NA,NA,NA,6.57
"Americas",1976,NA,NA,NA,NA,6.81
"Americas",1977,NA,NA,NA,NA,6.87
"Americas",1978,NA,NA,NA,NA,7.01
"Americas",1979,NA,NA,NA,NA,6.89
"Americas",1980,NA,NA,NA,NA,7.1
"Americas",1981,NA,NA,NA,NA,7.44
"Americas",1982,NA,NA,NA,NA,7.83
"Americas",1983,NA,NA,NA,NA,8.16
"Americas",1984,NA,NA,NA,NA,8.69
"Americas",1985,NA,NA,NA,NA,9.04
"Americas",1986,NA,NA,NA,NA,9.94
"Americas",1987,NA,NA,NA,NA,9.86
"Americas",1988,NA,NA,NA,NA,10.29
"Americas",1989,NA,NA,NA,NA,9.94
"Americas",1990,32.78202,0.1171,0.89499,0.2519,9.82
"Americas",1991,32.56732,0.1202,1.06823,0.2163,10.01
"Americas",1992,32.49899,0.09743,1.23754,0.2225,10.95
"Americas",1993,32.57241,0.02769,1.39905,0.1242,11.41
"Americas",1994,32.46641,0.05337,1.57545,0.1217,11.98
"Americas",1995,32.39821,0.04599,1.66001,0.1125,12.73
"Americas",1996,32.33302,0.04814,1.49479,0.1064,13.27
"Americas",1997,32.22307,0.04519,1.21319,0.0971,14.36
"Americas",1998,32.00989,0.04249,1.13326,0.0891,14.6
"Americas",1999,31.85064,0.04416,1.16744,0.0863,15.16
"Americas",2000,31.77487,0.04173,1.17514,0.0812,16.54
"Americas",2001,31.53015,0.0989,1.17901,0.0813,17.19
"Americas",2002,31.26278,0.05932,1.16086,0.0772,18.27
"Americas",2003,31.05164,0.03362,1.15412,0.0726,19
"Americas",2004,30.67431,0.05082,1.14331,0.0688,19.99
"Americas",2005,30.39976,0.04785,1.11665,0.0642,20.79
"Americas",2006,30.10655,0.03086,1.0982,0.1165,21.64
"Americas",2007,29.84245,0.02661,1.06595,0.1098,21.99
"Americas",2008,29.58199,0.01654,1.02634,0.0883,23.14
"Americas",2009,29.30649,0.01888,0.98083,0.0883,24.76
"Americas",2010,28.07376,0.01777,0.90843,0.0865,25.32
"Americas",2011,29.01715,0.01285,0.90543,0.086,26.13
"Americas",2012,28.91872,0.01229,0.87838,0.085,27.61
"Americas",2013,28.88557,0.0073,0.85702,0.0842,28.51
"Americas",2014,28.91043,0.00639,0.83321,0.0795,28.5
"Americas",2015,28.96676,0.00523,0.80995,0.0765,28.1
"Americas",2016,29.06487,0.00292,0.77907,0.0703,28.89
"Americas",2017,29.17009,0.00013,0.74604,0.0648,29.75
"Americas",2018,NA,NA,NA,0.0642,30.7
"Americas",2019,NA,NA,NA,0.0695,30.87
"Americas",2020,NA,NA,NA,NA,32
"Asia",1945,NA,NA,NA,NA,0
"Asia",1946,NA,NA,NA,NA,3.76
"Asia",1947,NA,NA,NA,NA,2.35
"Asia",1948,NA,NA,NA,NA,1.67
"Asia",1949,NA,NA,NA,NA,1.99
"Asia",1950,NA,NA,NA,NA,2.49
"Asia",1951,NA,NA,NA,NA,4.17
"Asia",1952,NA,NA,NA,NA,4.57
"Asia",1953,NA,NA,NA,NA,4.64
"Asia",1954,NA,NA,NA,NA,4.3
"Asia",1955,NA,NA,NA,NA,3.79
"Asia",1956,NA,NA,NA,NA,3.74
"Asia",1957,NA,NA,NA,NA,3.57
"Asia",1958,NA,NA,NA,NA,3.86
"Asia",1959,NA,NA,NA,NA,4.12
"Asia",1960,NA,NA,NA,NA,4.2
"Asia",1961,NA,NA,NA,NA,4.77
"Asia",1962,NA,NA,NA,NA,5.02
"Asia",1963,NA,NA,NA,NA,4.75
"Asia",1964,NA,NA,NA,NA,5.14
"Asia",1965,NA,NA,NA,NA,5.42
"Asia",1966,NA,NA,NA,NA,5.31
"Asia",1967,NA,NA,NA,NA,5.14
"Asia",1968,NA,NA,NA,NA,5.67
"Asia",1969,NA,NA,NA,NA,5.24
"Asia",1970,NA,NA,NA,NA,5.82
"Asia",1971,NA,NA,NA,NA,5.99
"Asia",1972,NA,NA,NA,NA,6.04
